doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chinh-sach-bao-hanh-san-pham,data\chinh-sach-tmdt\chinh-sach-bao-hanh-san-pham.md,Chính sách bảo hành cho sản phẩm mua tại Shopee,https://help.shopee.vn/portal/4/article/79046-%5BQuy%20%C4%91%E1%BB%8Bnh%5D%20Ch%C3%ADnh%20s%C3%A1ch%20b%E1%BA%A3o%20h%C3%A0nh%20cho%20s%E1%BA%A3n%20ph%E1%BA%A9m%20mua%20t%E1%BA%A1i%20Shopee,2026-09-20,not-stated,public-source
chinh-sach-tra-hang-hoan-tien,data\chinh-sach-tmdt\chinh-sach-tra-hang-hoan-tien.md,Chính sách Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH%20S%C3%81CH%20TR%E1%BA%A2%20H%C3%80NG%20V%C3%80%20HO%C3%80N%20TI%E1%BB%80N,2026-09-20,not-stated,public-source
huong-dan-gui-yeu-cau-tra-hang,data\chinh-sach-tmdt\huong-dan-gui-yeu-cau-tra-hang.md,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233-%5BTr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n%5D%20H%C6%B0%E1%BB%9Bng%20d%E1%BA%ABn%20g%C6%B0%CC%89i%20y%C3%AAu%20c%E1%BA%A7u%20Tr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n,2026-09-20,not-stated,public-source
phuong-thuc-gui-hang-va-phi-hoan-tra,data\chinh-sach-tmdt\phuong-thuc-gui-hang-va-phi-hoan-tra.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n%5D%20C%C3%A1c%20ph%C6%B0%C6%A1ng%20th%E1%BB%A9c%20g%E1%BB%ADi%20h%C3%A0ng%20ho%C3%A0n%20tr%E1%BA%A3%20v%C3%A0%20ph%C3%AD%20ho%C3%A0n%20tr%E1%BA%A3,2026-09-20,not-stated,public-source
quan-ly-don-tra-hang-nguoi-ban,data\chinh-sach-tmdt\quan-ly-don-tra-hang-nguoi-ban.md,Quản lý đơn trả hàng hoàn tiền (Kênh Quản Lý người bán),https://help.shopee.vn/portal/1/article/102521-Qu%E1%BA%A3n%20l%C3%BD%20%C4%91%C6%A1n%20tr%E1%BA%A3%20h%C3%A0ng%20ho%C3%A0n%20ti%E1%BB%81n,2026-09-20,not-stated,public-source
quy-dinh-chung-tra-hang-hoan-tien,data\chinh-sach-tmdt\quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3%20h%C3%A0ng%2FHo%C3%A0n%20ti%E1%BB%81n%5D%20Nh%E1%BB%AFng%20quy%20%C4%91%E1%BB%8Bnh%20chung%20v%E1%BB%81%20Tr%E1%BA%A3%20h%C3%A0ng%2FHo%C3%A0n%20ti%E1%BB%81n%20c%E1%BB%A7a%20Shopee,2026-09-20,not-stated,public-source
quy-trinh-shopee-xu-ly-yeu-cau,data\chinh-sach-tmdt\quy-trinh-shopee-xu-ly-yeu-cau.md,Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/190242-%5BTr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n%5D%20Quy%20tr%C3%ACnh%20Shopee%20x%E1%BB%AD%20l%C3%BD%20y%C3%AAu%20c%E1%BA%A7u%20Tr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n,2026-09-20,not-stated,public-source
san-pham-han-che-tra-hang,data\chinh-sach-tmdt\san-pham-han-che-tra-hang.md,Sản phẩm hạn chế trả hàng là gì,https://help.shopee.vn/portal/4/article/79465-%5BTr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n%5D%20S%E1%BA%A3n%20ph%E1%BA%A9m%20h%E1%BA%A1n%20ch%E1%BA%BF%20tr%E1%BA%A3%20h%C3%A0ng%20l%C3%A0%20g%C3%AC%3F,2026-09-20,not-stated,public-source
thoi-gian-nhan-tien-hoan,data\chinh-sach-tmdt\thoi-gian-nhan-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473-%5BTr%E1%BA%A3%20h%C3%A0ng%2F%20Ho%C3%A0n%20ti%E1%BB%81n%5D%20Th%E1%BB%9Di%20gian%20nh%E1%BA%ADn%20ti%E1%BB%81n%20ho%C3%A0n%20v%C3%A0%20c%C3%A1ch%20ki%E1%BB%83m%20tra%20ti%E1%BB%81n%20ho%C3%A0n,2026-09-20,not-stated,public-source
tra-hang-do-doi-y,data\chinh-sach-tmdt\tra-hang-do-doi-y.md,Những điều cần biết về Trả hàng do Đổi ý/không còn nhu cầu,https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng%20%C4%91i%E1%BB%81u%20c%E1%BA%A7n%20bi%E1%BA%BFt%20v%E1%BB%81%20Tr%E1%BA%A3%20h%C3%A0ng%20do%20%22%C4%90%E1%BB%95i%20%C3%BD%2Fkh%C3%B4ng%20c%C3%B2n%20nhu%20c%E1%BA%A7u%22,2026-09-20,not-stated,public-source
